landscape,month_sold,number_of_levels_basement_excl,scenic,travel,building_dimensions,ownership,environment,patio,parquet,year_sold,municipal_assessment,town,backyard_faces,long,mansion,final_amount,yard,asking_price,located_on_which_floor_if_condo,architecture,interior design,total_number_of_rooms,number_of_bathrooms,barn,comfort,swimming pool,property_style,garage,suburb,porch,flora,lat,modern,classic,living_space_area_basement_excl,gazebo,villa,sold_in,address,hotel,old,fireplace,price_detail,minimalist,url,lot_dimensions,luxury,pavement,pool,year_of_construction,contemporary,number_of_bedrooms,number_of_interior_parking,number_of_half_baths,bedroom_details,bathroom_details,number_of_exterior_parking
0,1,2,0,1,92.9,undivided,0,0,0,2016,389000,Villeray / St-Michel / Parc-Extension,north_east,-73.6112819,0,372000,0,379000,1,1,1,7,2,0,0,0,2_storey,0,0,0,1,45.552479,0,0,92.9,0,0,92,2-7573 rue de Bordeaux,1,0,0,available_now,0,http://duproprio.com//condo-for-sale-villeray-st-michel-parc-extension-quebec-en-619797,192.77,1,0,0,1949,1,3,,,,,
0,1,,0,1,,,0,0,0,2016,,"Ville-Marie (downtown, old Mtl)",,-73.57742029999997,0,,0,192526,3,1,1,,1,0,0,0,new_construction,0,0,0,0,45.49117409999999,1,0,42.46,0,0,4,"1800 boulevard Renï¿½-Lï¿½vesque O., Unitï¿½/Unit 317 (Studio) - O'NESSY",1,0,0,price_taxes_not_included,1,http://duproprio.com//new-condo-for-sale-montreal-downtown-ville-marie-quebec-en-588422,,1,0,0,,1,1,,,,,
0,1,,0,1,,,0,0,0,2016,,"Ville-Marie (downtown, old Mtl)",,-73.57742029999997,0,,0,274228,5,1,1,,1,0,0,0,new_construction,0,0,0,0,45.49117409999999,1,0,58.06,0,0,4,"1800 boulevard Renï¿½-Lï¿½vesque O., Unitï¿½/Unit 504 - O'NESSY",1,0,0,price_taxes_not_included,1,http://duproprio.com//new-condo-for-sale-montreal-downtown-ville-marie-quebec-en-588448,,1,0,0,,1,2,,,,,
0,1,1,0,0,,undivided,0,1,0,2016,583000,Cï¿½te-des-Neiges / Notre-Dame-de-Grï¿½ce,south_west,-73.61096380000004,0,410000,0,419000,2,1,1,8,1,0,0,0,undivided_co_ownership,0,0,0,0,45.4719025,0,0,144,0,0,149,2234 avenue Girouard,1,0,1,no_agents,0,http://duproprio.com//condo-for-sale-cote-des-neiges-quebec-en-591247,162.58,1,0,0,1930,1,4,1,,,,
1,1,2,0,0,72.84,,0,1,1,2016,,Pierrefonds / Roxboro,north,-73.7796732,0,,1,,,1,1,10,2,0,1,0,2_storey,0,0,1,0,45.5055296,0,0,145.67,0,0,106,3 place Talbot,1,0,0,by_appointment,1,http://duproprio.com//house-for-sale-pierrefonds-roxboro-quebec-en-610465,556.49,1,0,0,1967,1,5,,1,,,
0,1,2,0,0,9.51,,0,0,0,2016,,Pointe-Aux-Trembles / East Montreal,south_east,-73.5084864,0,204000,0,207900,,1,1,4,1,0,1,0,townhouse,1,1,0,0,45.650351,1,0,98.52,0,0,38,920 place du Parc,0,0,1,updated_price,0,http://duproprio.com//house-for-sale-pointe-aux-trembles-quebec-en-664867,137.5,1,1,0,1970,1,2,,1,,,
0,1,2,0,1,10.67,,0,1,0,2016,391600,Mercier / Hochelaga / Maisonneuve,south,-73.54332349999999,0,435000,0,449000,,0,1,10,2,0,0,1,2_storey,0,0,0,0,45.6123171,0,0,165.83,0,1,340,6550 rue Paul Pau,1,0,1,new_price,0,http://duproprio.com//house-for-sale-mercier-hochelaga-maisonneuve-quebec-en-574026,30.48,1,0,1,1982,1,4,,1,grande_dimension,sous_sol_rï¿½novï¿½,
1,1,1,0,1,,divided,1,0,0,2016,,Ahuntsic / Cartierville,north,-73.67914739999998,1,255000,0,263000,12,1,1,4,1,0,1,0,new_construction,0,0,0,0,45.5332373,1,0,87.14,0,0,774,1252-10650 place de l'Acadie,0,0,0,new_price,0,http://duproprio.com//condo-for-sale-ahuntsic-cartierville-quebec-en-469479,,1,0,0,2012,1,2,1,,grandes_fenï¿½tres_avec_vue_panoramique_walk_in_floor_to_ceiling_window_with_panoramic_view,douche_et_bain_sï¿½parï¿½s_comptoir_de_vanitï¿½_en_granite_separate_shower_granite_vanity_countertop,
0,1,1,0,0,111,,0,0,1,2016,284900,Pierrefonds / Roxboro,north_east,-73.810792565346,0,350000,1,355000,,1,1,10,2,0,0,0,detached,0,1,1,0,45.514083515914,1,0,106,0,0,63,71 1ï¿½re Avenue Nord,1,0,0,negotiable,1,http://duproprio.com//home-for-sale-pierrefonds-roxboro-quebec-en-662895,511,1,0,0,1964,1,3,,,,,
1,1,1,0,1,,divided,0,1,0,2016,,Mercier / Hochelaga / Maisonneuve,south_east,-73.5402412,0,241500,1,242000,1,1,1,3,1,0,0,0,divided_co_ownership,1,0,1,0,45.5563395,1,1,60.39,0,0,69,101-2100 avenue Aird,1,0,0,with_garage,1,http://duproprio.com//condo-for-sale-mercier-hochelaga-maisonneuve-quebec-en-659719,124.49,1,1,0,2014,1,1,1,,,,
0,1,2,0,1,92.9,undivided,0,0,0,2016,389000,Villeray / St-Michel / Parc-Extension,north_east,-73.6112819,0,372000,0,379000,1,1,1,7,2,0,0,0,2_storey,0,0,0,1,45.552479,0,0,92.9,0,0,92,2-7573 rue de Bordeaux,1,1,0,available_now,0,http://duproprio.com//condo-for-sale-villeray-st-michel-parc-extension-quebec-en-619797,192.77,1,0,0,1949,1,3,,,,,
0,1,,0,1,,,0,0,0,2016,,"Ville-Marie (downtown, old Mtl)",,-73.57742029999997,0,,0,192526,3,1,1,,1,0,0,0,new_construction,0,0,0,0,45.49117409999999,1,0,42.46,0,0,4,"1800 boulevard Renï¿½-Lï¿½vesque O., Unitï¿½/Unit 317 (Studio) - O'NESSY",1,0,0,price_taxes_not_included,1,http://duproprio.com//new-condo-for-sale-montreal-downtown-ville-marie-quebec-en-588422,,1,0,0,,1,1,,,,,
0,1,,0,1,,,0,0,0,2016,,"Ville-Marie (downtown, old Mtl)",,-73.57742029999997,0,,0,274228,5,1,1,,1,0,0,0,new_construction,0,0,0,0,45.49117409999999,1,0,58.06,0,0,4,"1800 boulevard Renï¿½-Lï¿½vesque O., Unitï¿½/Unit 504 - O'NESSY",1,0,0,price_taxes_not_included,1,http://duproprio.com//new-condo-for-sale-montreal-downtown-ville-marie-quebec-en-588448,,1,0,0,,1,2,,,,,
0,1,1,0,0,,undivided,0,1,0,2016,583000,Cï¿½te-des-Neiges / Notre-Dame-de-Grï¿½ce,south_west,-73.61096380000004,0,410000,0,419000,2,1,1,8,1,0,0,0,undivided_co_ownership,0,0,0,0,45.4719025,0,0,144,0,0,149,2234 avenue Girouard,0,0,1,no_agents,0,http://duproprio.com//condo-for-sale-cote-des-neiges-quebec-en-591247,162.58,1,0,0,1930,1,4,1,,,,
1,1,2,0,0,72.84,,0,1,1,2016,,Pierrefonds / Roxboro,north,-73.7796732,0,,1,,,1,1,10,2,0,0,0,2_storey,0,0,1,0,45.5055296,0,0,145.67,0,0,106,3 place Talbot,0,0,0,by_appointment,1,http://duproprio.com//house-for-sale-pierrefonds-roxboro-quebec-en-610465,556.49,1,0,0,1967,1,5,,1,,,
0,1,2,0,1,9.51,,1,0,0,2016,,Pointe-Aux-Trembles / East Montreal,south_east,-73.5084864,0,204000,0,207900,,1,1,4,1,0,1,0,townhouse,1,1,0,0,45.650351,1,0,98.52,0,0,38,920 place du Parc,0,0,1,updated_price,0,http://duproprio.com//house-for-sale-pointe-aux-trembles-quebec-en-664867,137.5,1,1,0,1970,1,2,,1,,,
0,1,2,0,0,10.67,,0,0,0,2016,391600,Mercier / Hochelaga / Maisonneuve,south,-73.54332349999999,0,435000,0,449000,,1,1,10,2,0,0,0,2_storey,0,0,0,0,45.6123171,0,0,165.83,0,0,340,6550 rue Paul Pau,1,0,1,new_price,0,http://duproprio.com//house-for-sale-mercier-hochelaga-maisonneuve-quebec-en-574026,30.48,1,1,0,1982,1,4,,1,grande_dimension,sous_sol_rï¿½novï¿½,
1,1,1,0,1,,divided,1,0,0,2016,,Ahuntsic / Cartierville,north,-73.67914739999998,1,255000,0,263000,12,1,1,4,1,0,0,0,new_construction,0,0,0,0,45.5332373,1,0,87.14,0,0,774,1252-10650 place de l'Acadie,0,0,0,new_price,0,http://duproprio.com//condo-for-sale-ahuntsic-cartierville-quebec-en-469479,,1,0,0,2012,1,2,1,,grandes_fenï¿½tres_avec_vue_panoramique_walk_in_floor_to_ceiling_window_with_panoramic_view,douche_et_bain_sï¿½parï¿½s_comptoir_de_vanitï¿½_en_granite_separate_shower_granite_vanity_countertop,
0,1,1,0,1,111,,0,0,0,2016,284900,Pierrefonds / Roxboro,north_east,-73.810792565346,0,350000,0,355000,,1,1,10,2,0,0,0,detached,0,0,0,0,45.514083515914,0,0,106,0,0,63,71 1ï¿½re Avenue Nord,1,0,0,negotiable,1,http://duproprio.com//home-for-sale-pierrefonds-roxboro-quebec-en-662895,511,1,0,0,1964,1,3,,,,,
1,1,1,0,1,,divided,0,1,0,2016,,Mercier / Hochelaga / Maisonneuve,south_east,-73.5402412,0,241500,0,242000,1,1,1,3,1,0,0,0,divided_co_ownership,1,0,0,0,45.5563395,0,1,60.39,0,0,69,101-2100 avenue Aird,1,0,0,with_garage,1,http://duproprio.com//condo-for-sale-mercier-hochelaga-maisonneuve-quebec-en-659719,124.49,1,0,0,2014,1,1,1,,,,
0,1,2,0,1,92.9,undivided,0,0,0,2016,389000,Villeray / St-Michel / Parc-Extension,north_east,-73.6112819,0,372000,0,379000,1,1,1,7,2,0,0,0,2_storey,0,0,0,1,45.552479,0,0,92.9,0,0,92,2-7573 rue de Bordeaux,1,1,0,available_now,0,http://duproprio.com//condo-for-sale-villeray-st-michel-parc-extension-quebec-en-619797,192.77,1,0,0,1949,1,3,,,,,
0,1,,0,1,,,0,0,0,2016,,"Ville-Marie (downtown, old Mtl)",,-73.57742029999997,0,,0,192526,3,1,1,,1,0,0,0,new_construction,0,0,0,0,45.49117409999999,1,0,42.46,0,0,4,"1800 boulevard Renï¿½-Lï¿½vesque O., Unitï¿½/Unit 317 (Studio) - O'NESSY",1,0,0,price_taxes_not_included,1,http://duproprio.com//new-condo-for-sale-montreal-downtown-ville-marie-quebec-en-588422,,1,0,0,,1,1,,,,,
0,1,,0,1,,,0,0,0,2016,,"Ville-Marie (downtown, old Mtl)",,-73.57742029999997,0,,0,274228,5,1,1,,1,0,0,0,new_construction,0,0,0,0,45.49117409999999,1,0,58.06,0,0,4,"1800 boulevard Renï¿½-Lï¿½vesque O., Unitï¿½/Unit 504 - O'NESSY",1,0,0,price_taxes_not_included,1,http://duproprio.com//new-condo-for-sale-montreal-downtown-ville-marie-quebec-en-588448,,1,0,0,,1,2,,,,,
0,1,1,0,1,,undivided,0,1,0,2016,583000,Cï¿½te-des-Neiges / Notre-Dame-de-Grï¿½ce,south_west,-73.61096380000004,0,410000,0,419000,2,1,1,8,1,0,0,0,undivided_co_ownership,0,0,0,0,45.4719025,0,0,144,0,0,149,2234 avenue Girouard,0,1,0,no_agents,0,http://duproprio.com//condo-for-sale-cote-des-neiges-quebec-en-591247,162.58,1,0,0,1930,1,4,1,,,,
0,1,2,0,0,72.84,,0,0,0,2016,,Pierrefonds / Roxboro,north,-73.7796732,0,,1,,,1,1,10,2,0,1,0,2_storey,0,0,0,0,45.5055296,0,0,145.67,0,0,106,3 place Talbot,0,0,0,by_appointment,0,http://duproprio.com//house-for-sale-pierrefonds-roxboro-quebec-en-610465,556.49,1,0,0,1967,1,5,,1,,,
0,1,2,0,1,9.51,,1,0,0,2016,,Pointe-Aux-Trembles / East Montreal,south_east,-73.5084864,0,204000,0,207900,,1,1,4,1,0,0,0,townhouse,1,1,0,0,45.650351,1,0,98.52,0,0,38,920 place du Parc,0,0,1,updated_price,0,http://duproprio.com//house-for-sale-pointe-aux-trembles-quebec-en-664867,137.5,1,1,0,1970,1,2,,1,,,
0,1,2,0,0,10.67,,0,0,0,2016,391600,Mercier / Hochelaga / Maisonneuve,south,-73.54332349999999,0,435000,0,449000,,1,1,10,2,0,0,0,2_storey,0,0,0,0,45.6123171,0,0,165.83,0,0,340,6550 rue Paul Pau,1,0,0,new_price,0,http://duproprio.com//house-for-sale-mercier-hochelaga-maisonneuve-quebec-en-574026,30.48,1,1,0,1982,1,4,,1,grande_dimension,sous_sol_rï¿½novï¿½,
1,1,1,0,1,,divided,0,0,0,2016,,Ahuntsic / Cartierville,north,-73.67914739999998,0,255000,0,263000,12,1,1,4,1,0,1,0,new_construction,0,0,0,0,45.5332373,1,0,87.14,0,0,774,1252-10650 place de l'Acadie,0,0,0,new_price,0,http://duproprio.com//condo-for-sale-ahuntsic-cartierville-quebec-en-469479,,1,0,0,2012,1,2,1,,grandes_fenï¿½tres_avec_vue_panoramique_walk_in_floor_to_ceiling_window_with_panoramic_view,douche_et_bain_sï¿½parï¿½s_comptoir_de_vanitï¿½_en_granite_separate_shower_granite_vanity_countertop,
0,1,1,0,1,111,,0,0,1,2016,284900,Pierrefonds / Roxboro,north_east,-73.810792565346,0,350000,0,355000,,1,1,10,2,0,0,0,detached,0,0,0,0,45.514083515914,1,0,106,0,0,63,71 1ï¿½re Avenue Nord,1,0,0,negotiable,1,http://duproprio.com//home-for-sale-pierrefonds-roxboro-quebec-en-662895,511,1,0,0,1964,1,3,,,,,
0,1,1,0,1,,divided,0,1,0,2016,,Mercier / Hochelaga / Maisonneuve,south_east,-73.5402412,0,241500,1,242000,1,1,1,3,1,0,0,0,divided_co_ownership,0,0,1,0,45.5563395,1,0,60.39,0,0,69,101-2100 avenue Aird,1,0,0,with_garage,1,http://duproprio.com//condo-for-sale-mercier-hochelaga-maisonneuve-quebec-en-659719,124.49,1,1,0,2014,1,1,1,,,,
0,1,2,0,1,92.9,undivided,0,0,0,2016,389000,Villeray / St-Michel / Parc-Extension,north_east,-73.6112819,0,372000,0,379000,1,1,1,7,2,0,0,0,2_storey,0,0,0,1,45.552479,0,0,92.9,0,0,92,2-7573 rue de Bordeaux,1,0,0,available_now,0,http://duproprio.com//condo-for-sale-villeray-st-michel-parc-extension-quebec-en-619797,192.77,1,0,0,1949,1,3,,,,,
0,1,,0,1,,,0,0,0,2016,,"Ville-Marie (downtown, old Mtl)",,-73.57742029999997,0,,0,192526,3,1,1,,1,0,0,0,new_construction,0,0,0,0,45.49117409999999,1,0,42.46,0,0,4,"1800 boulevard Renï¿½-Lï¿½vesque O., Unitï¿½/Unit 317 (Studio) - O'NESSY",1,0,0,price_taxes_not_included,1,http://duproprio.com//new-condo-for-sale-montreal-downtown-ville-marie-quebec-en-588422,,1,0,0,,1,1,,,,,
0,1,,0,1,,,0,0,0,2016,,"Ville-Marie (downtown, old Mtl)",,-73.57742029999997,0,,0,274228,5,1,1,,1,0,0,0,new_construction,0,0,0,0,45.49117409999999,1,0,58.06,0,0,4,"1800 boulevard Renï¿½-Lï¿½vesque O., Unitï¿½/Unit 504 - O'NESSY",1,0,0,price_taxes_not_included,1,http://duproprio.com//new-condo-for-sale-montreal-downtown-ville-marie-quebec-en-588448,,1,0,0,,1,2,,,,,
0,1,1,0,1,,undivided,0,1,0,2016,583000,Cï¿½te-des-Neiges / Notre-Dame-de-Grï¿½ce,south_west,-73.61096380000004,0,410000,0,419000,2,1,1,8,1,0,0,0,undivided_co_ownership,0,0,0,0,45.4719025,0,0,144,0,0,149,2234 avenue Girouard,0,1,0,no_agents,0,http://duproprio.com//condo-for-sale-cote-des-neiges-quebec-en-591247,162.58,1,0,0,1930,1,4,1,,,,
0,1,2,0,0,72.84,,0,1,0,2016,,Pierrefonds / Roxboro,north,-73.7796732,0,,1,,,1,1,10,2,0,1,0,2_storey,0,0,1,0,45.5055296,0,0,145.67,0,0,106,3 place Talbot,1,0,0,by_appointment,0,http://duproprio.com//house-for-sale-pierrefonds-roxboro-quebec-en-610465,556.49,1,0,0,1967,1,5,,1,,,
0,1,2,0,0,9.51,,0,0,0,2016,,Pointe-Aux-Trembles / East Montreal,south_east,-73.5084864,0,204000,0,207900,,1,1,4,1,0,1,0,townhouse,1,1,0,0,45.650351,1,0,98.52,0,0,38,920 place du Parc,0,0,1,updated_price,0,http://duproprio.com//house-for-sale-pointe-aux-trembles-quebec-en-664867,137.5,1,1,0,1970,1,2,,1,,,
0,1,2,0,0,10.67,,0,0,0,2016,391600,Mercier / Hochelaga / Maisonneuve,south,-73.54332349999999,0,435000,0,449000,,1,1,10,2,0,0,0,2_storey,0,0,0,0,45.6123171,0,0,165.83,0,0,340,6550 rue Paul Pau,1,0,1,new_price,0,http://duproprio.com//house-for-sale-mercier-hochelaga-maisonneuve-quebec-en-574026,30.48,1,0,0,1982,1,4,,1,grande_dimension,sous_sol_rï¿½novï¿½,
1,1,1,0,1,,divided,1,0,0,2016,,Ahuntsic / Cartierville,north,-73.67914739999998,0,255000,0,263000,12,1,1,4,1,0,1,0,new_construction,0,0,0,0,45.5332373,0,0,87.14,0,0,774,1252-10650 place de l'Acadie,0,0,0,new_price,0,http://duproprio.com//condo-for-sale-ahuntsic-cartierville-quebec-en-469479,,1,0,0,2012,1,2,1,,grandes_fenï¿½tres_avec_vue_panoramique_walk_in_floor_to_ceiling_window_with_panoramic_view,douche_et_bain_sï¿½parï¿½s_comptoir_de_vanitï¿½_en_granite_separate_shower_granite_vanity_countertop,
0,1,1,0,0,111,,0,0,0,2016,284900,Pierrefonds / Roxboro,north_east,-73.810792565346,0,350000,0,355000,,1,1,10,2,0,1,0,detached,0,0,0,0,45.514083515914,0,0,106,0,0,63,71 1ï¿½re Avenue Nord,1,0,0,negotiable,1,http://duproprio.com//home-for-sale-pierrefonds-roxboro-quebec-en-662895,511,1,0,0,1964,1,3,,,,,
1,1,1,0,1,,divided,0,1,0,2016,,Mercier / Hochelaga / Maisonneuve,south_east,-73.5402412,0,241500,1,242000,1,1,1,3,1,0,0,0,divided_co_ownership,1,0,1,0,45.5563395,1,1,60.39,0,0,69,101-2100 avenue Aird,1,0,0,with_garage,0,http://duproprio.com//condo-for-sale-mercier-hochelaga-maisonneuve-quebec-en-659719,124.49,1,1,0,2014,1,1,1,,,,
0,1,2,0,1,92.9,undivided,0,0,0,2016,389000,Villeray / St-Michel / Parc-Extension,north_east,-73.6112819,0,372000,0,379000,1,1,1,7,2,0,0,0,2_storey,0,0,0,1,45.552479,0,0,92.9,0,0,92,2-7573 rue de Bordeaux,1,1,0,available_now,0,http://duproprio.com//condo-for-sale-villeray-st-michel-parc-extension-quebec-en-619797,192.77,1,0,0,1949,1,3,,,,,
0,1,,0,1,,,0,0,0,2016,,"Ville-Marie (downtown, old Mtl)",,-73.57742029999997,0,,0,192526,3,1,1,,1,0,0,0,new_construction,0,0,0,0,45.49117409999999,1,0,42.46,0,0,4,"1800 boulevard Renï¿½-Lï¿½vesque O., Unitï¿½/Unit 317 (Studio) - O'NESSY",1,0,0,price_taxes_not_included,1,http://duproprio.com//new-condo-for-sale-montreal-downtown-ville-marie-quebec-en-588422,,1,0,0,,1,1,,,,,
0,1,,0,1,,,0,0,0,2016,,"Ville-Marie (downtown, old Mtl)",,-73.57742029999997,0,,0,274228,5,1,1,,1,0,0,0,new_construction,0,0,0,0,45.49117409999999,1,0,58.06,0,0,4,"1800 boulevard Renï¿½-Lï¿½vesque O., Unitï¿½/Unit 504 - O'NESSY",1,0,0,price_taxes_not_included,1,http://duproprio.com//new-condo-for-sale-montreal-downtown-ville-marie-quebec-en-588448,,1,0,0,,1,2,,,,,
0,1,1,0,0,,undivided,0,1,0,2016,583000,Cï¿½te-des-Neiges / Notre-Dame-de-Grï¿½ce,south_west,-73.61096380000004,0,410000,0,419000,2,1,1,8,1,0,0,0,undivided_co_ownership,0,0,0,0,45.4719025,0,0,144,0,0,149,2234 avenue Girouard,1,0,0,no_agents,0,http://duproprio.com//condo-for-sale-cote-des-neiges-quebec-en-591247,162.58,1,0,0,1930,1,4,1,,,,
0,1,2,0,0,72.84,,0,1,0,2016,,Pierrefonds / Roxboro,north,-73.7796732,0,,1,,,1,1,10,2,0,1,0,2_storey,0,1,1,0,45.5055296,0,0,145.67,0,0,106,3 place Talbot,1,0,0,by_appointment,1,http://duproprio.com//house-for-sale-pierrefonds-roxboro-quebec-en-610465,556.49,1,0,0,1967,1,5,,1,,,
0,1,2,0,1,9.51,,1,0,0,2016,,Pointe-Aux-Trembles / East Montreal,south_east,-73.5084864,0,204000,0,207900,,1,1,4,1,0,0,0,townhouse,1,1,0,0,45.650351,0,0,98.52,0,0,38,920 place du Parc,0,0,1,updated_price,0,http://duproprio.com//house-for-sale-pointe-aux-trembles-quebec-en-664867,137.5,1,1,0,1970,1,2,,1,,,
0,1,2,0,0,10.67,,0,0,0,2016,391600,Mercier / Hochelaga / Maisonneuve,south,-73.54332349999999,0,435000,0,449000,,1,1,10,2,0,0,0,2_storey,0,0,0,0,45.6123171,0,0,165.83,0,0,340,6550 rue Paul Pau,1,0,1,new_price,0,http://duproprio.com//house-for-sale-mercier-hochelaga-maisonneuve-quebec-en-574026,30.48,1,1,0,1982,1,4,,1,grande_dimension,sous_sol_rï¿½novï¿½,
1,1,1,0,1,,divided,0,0,0,2016,,Ahuntsic / Cartierville,north,-73.67914739999998,1,255000,0,263000,12,1,1,4,1,0,0,0,new_construction,0,0,0,0,45.5332373,0,0,87.14,0,0,774,1252-10650 place de l'Acadie,0,0,0,new_price,1,http://duproprio.com//condo-for-sale-ahuntsic-cartierville-quebec-en-469479,,1,0,0,2012,1,2,1,,grandes_fenï¿½tres_avec_vue_panoramique_walk_in_floor_to_ceiling_window_with_panoramic_view,douche_et_bain_sï¿½parï¿½s_comptoir_de_vanitï¿½_en_granite_separate_shower_granite_vanity_countertop,
0,1,1,0,1,111,,0,0,1,2016,284900,Pierrefonds / Roxboro,north_east,-73.810792565346,0,350000,1,355000,,1,1,10,2,0,1,0,detached,0,1,1,0,45.514083515914,1,0,106,0,0,63,71 1ï¿½re Avenue Nord,1,0,0,negotiable,1,http://duproprio.com//home-for-sale-pierrefonds-roxboro-quebec-en-662895,511,1,0,0,1964,1,3,,,,,
1,1,1,0,1,,divided,0,1,0,2016,,Mercier / Hochelaga / Maisonneuve,south_east,-73.5402412,0,241500,1,242000,1,1,1,3,1,0,0,0,divided_co_ownership,0,0,1,0,45.5563395,1,0,60.39,0,0,69,101-2100 avenue Aird,0,0,0,with_garage,1,http://duproprio.com//condo-for-sale-mercier-hochelaga-maisonneuve-quebec-en-659719,124.49,1,1,0,2014,1,1,1,,,,
0,1,2,0,1,92.9,undivided,0,0,0,2016,389000,Villeray / St-Michel / Parc-Extension,north_east,-73.6112819,0,372000,0,379000,1,1,1,7,2,0,0,0,2_storey,0,0,0,1,45.552479,0,0,92.9,0,0,92,2-7573 rue de Bordeaux,1,1,0,available_now,0,http://duproprio.com//condo-for-sale-villeray-st-michel-parc-extension-quebec-en-619797,192.77,1,0,0,1949,1,3,,,,,
0,1,,0,1,,,0,0,0,2016,,"Ville-Marie (downtown, old Mtl)",,-73.57742029999997,0,,0,192526,3,1,1,,1,0,0,0,new_construction,0,0,0,0,45.49117409999999,1,0,42.46,0,0,4,"1800 boulevard Renï¿½-Lï¿½vesque O., Unitï¿½/Unit 317 (Studio) - O'NESSY",1,0,0,price_taxes_not_included,1,http://duproprio.com//new-condo-for-sale-montreal-downtown-ville-marie-quebec-en-588422,,1,0,0,,1,1,,,,,
0,1,,0,1,,,0,0,0,2016,,"Ville-Marie (downtown, old Mtl)",,-73.57742029999997,0,,0,274228,5,1,1,,1,0,0,0,new_construction,0,0,0,0,45.49117409999999,1,0,58.06,0,0,4,"1800 boulevard Renï¿½-Lï¿½vesque O., Unitï¿½/Unit 504 - O'NESSY",1,0,0,price_taxes_not_included,1,http://duproprio.com//new-condo-for-sale-montreal-downtown-ville-marie-quebec-en-588448,,1,0,0,,1,2,,,,,
0,1,1,0,1,,undivided,0,0,0,2016,583000,Cï¿½te-des-Neiges / Notre-Dame-de-Grï¿½ce,south_west,-73.61096380000004,0,410000,0,419000,2,1,1,8,1,0,0,0,undivided_co_ownership,0,0,0,0,45.4719025,0,0,144,0,0,149,2234 avenue Girouard,1,1,1,no_agents,0,http://duproprio.com//condo-for-sale-cote-des-neiges-quebec-en-591247,162.58,1,0,0,1930,1,4,1,,,,
1,1,2,0,0,72.84,,0,0,0,2016,,Pierrefonds / Roxboro,north,-73.7796732,1,,1,,,1,1,10,2,0,1,0,2_storey,0,0,1,0,45.5055296,0,0,145.67,0,0,106,3 place Talbot,0,0,0,by_appointment,0,http://duproprio.com//house-for-sale-pierrefonds-roxboro-quebec-en-610465,556.49,1,0,0,1967,1,5,,1,,,
0,1,2,0,1,9.51,,1,0,0,2016,,Pointe-Aux-Trembles / East Montreal,south_east,-73.5084864,0,204000,0,207900,,1,1,4,1,0,0,0,townhouse,0,0,0,0,45.650351,1,0,98.52,0,0,38,920 place du Parc,0,0,0,updated_price,0,http://duproprio.com//house-for-sale-pointe-aux-trembles-quebec-en-664867,137.5,1,0,0,1970,1,2,,1,,,
0,1,2,0,1,10.67,,0,1,0,2016,391600,Mercier / Hochelaga / Maisonneuve,south,-73.54332349999999,0,435000,0,449000,,0,1,10,2,0,0,1,2_storey,0,0,0,0,45.6123171,0,0,165.83,0,1,340,6550 rue Paul Pau,1,0,0,new_price,0,http://duproprio.com//house-for-sale-mercier-hochelaga-maisonneuve-quebec-en-574026,30.48,1,0,1,1982,1,4,,1,grande_dimension,sous_sol_rï¿½novï¿½,
1,1,1,0,1,,divided,1,0,0,2016,,Ahuntsic / Cartierville,north,-73.67914739999998,0,255000,0,263000,12,1,1,4,1,0,1,0,new_construction,0,0,0,0,45.5332373,0,0,87.14,0,0,774,1252-10650 place de l'Acadie,0,0,0,new_price,0,http://duproprio.com//condo-for-sale-ahuntsic-cartierville-quebec-en-469479,,1,0,0,2012,1,2,1,,grandes_fenï¿½tres_avec_vue_panoramique_walk_in_floor_to_ceiling_window_with_panoramic_view,douche_et_bain_sï¿½parï¿½s_comptoir_de_vanitï¿½_en_granite_separate_shower_granite_vanity_countertop,
0,1,1,0,1,111,,0,0,0,2016,284900,Pierrefonds / Roxboro,north_east,-73.810792565346,0,350000,1,355000,,1,1,10,2,0,0,0,detached,0,1,1,0,45.514083515914,1,0,106,0,0,63,71 1ï¿½re Avenue Nord,1,0,0,negotiable,1,http://duproprio.com//home-for-sale-pierrefonds-roxboro-quebec-en-662895,511,1,0,0,1964,1,3,,,,,
1,1,1,0,1,,divided,0,1,0,2016,,Mercier / Hochelaga / Maisonneuve,south_east,-73.5402412,0,241500,1,242000,1,1,1,3,1,0,0,0,divided_co_ownership,0,0,1,0,45.5563395,1,0,60.39,0,0,69,101-2100 avenue Aird,1,0,0,with_garage,1,http://duproprio.com//condo-for-sale-mercier-hochelaga-maisonneuve-quebec-en-659719,124.49,1,1,0,2014,1,1,1,,,,
0,1,2,0,1,92.9,undivided,0,0,0,2016,389000,Villeray / St-Michel / Parc-Extension,north_east,-73.6112819,0,372000,0,379000,1,1,1,7,2,0,0,0,2_storey,0,0,0,1,45.552479,0,0,92.9,0,0,92,2-7573 rue de Bordeaux,1,1,0,available_now,0,http://duproprio.com//condo-for-sale-villeray-st-michel-parc-extension-quebec-en-619797,192.77,1,0,0,1949,1,3,,,,,
0,1,,0,1,,,0,0,0,2016,,"Ville-Marie (downtown, old Mtl)",,-73.57742029999997,0,,0,192526,3,1,1,,1,0,0,0,new_construction,0,0,0,0,45.49117409999999,1,0,42.46,0,0,4,"1800 boulevard Renï¿½-Lï¿½vesque O., Unitï¿½/Unit 317 (Studio) - O'NESSY",1,0,0,price_taxes_not_included,1,http://duproprio.com//new-condo-for-sale-montreal-downtown-ville-marie-quebec-en-588422,,1,0,0,,1,1,,,,,
